number of episodes,average reward/episode
1.188,-6.007569386
1.189,-6.023529412
1.19,-6.022670025
1.191,-6
1.192,-6.015926236
1.193,-6.010050251
1.194,-6.017573222
1.195,-6.025083612
1.196,-6
1.197,-5.996661102
1.198,-5.994161802
1.199,-5.996666667
1.2,-5.988343047
1.201,-5.983361065
1.202,-5.980049875
1.203,-5.975913621
1.204,-5.991701245
1.205,-6.007462687
1.206,-5.995857498
1.207,-5.994205298
1.208,-6.009925558
1.209,-6
1.21,-5.979355904
1.211,-5.97359736
1.212,-5.98928277
1.213,-5.981054366
1.214,-5.974485597
1.215,-5.990131579
1.216,-5.993426459
1.217,-5.989326765
1.218,-5.981132075
1.219,-5.976229508
1.22,-5.968058968
1.221,-5.964811784
1.222,-5.969746525
1.223,-5.969771242
1.224,-5.985306122
1.225,-6.000815661
1.226,-5.999185004
1.227,-5.995114007
1.228,-5.993490643
1.229,-5.990243902
1.23,-5.988627132
1.231,-5.968344156
1.232,-5.9675588
1.233,-5.944894652
1.234,-5.939271255
1.235,-5.944174757
1.236,-5.928051738
1.237,-5.928109855
1.238,-5.934624697
1.239,-5.94516129
1.24,-5.956486704
1.241,-5.966988728
1.242,-5.962992759
1.243,-5.974276527
1.244,-5.95502008
1.245,-5.93258427
1.246,-5.932638332
1.247,-5.931089744
1.248,-5.927942354
1.249,-5.9432
1.25,-5.944844125
1.251,-5.940095847
1.252,-5.917797287
1.253,-5.917065391
1.254,-5.89561753
1.255,-5.890127389
1.256,-5.885441527
1.257,-5.90063593
1.258,-5.895154885
1.259,-5.887301587
1.26,-5.88183981
1.261,-5.87955626
1.262,-5.860649248
1.263,-5.838607595
1.264,-5.83083004
1.265,-5.81121643
1.266,-5.801894238
1.267,-5.80362776
1.268,-5.810874704
1.269,-5.823622047
1.27,-5.826907946
1.271,-5.841981132
1.272,-5.832678712
1.273,-5.825745683
1.274,-5.824313725
1.275,-5.836206897
1.276,-5.820673453
